Id,IsAccountPrivate,IsVerified,HasProfilePicture,NumberFollowing,NumberFollowers,NumberLikes,HasInstagramLink,HasYoutubeLink,HasAccountDescription,HasLinkInDescription,PostsExist,NumberOfPosts,FollowingToFollowerRatio,LikesToFollowerRatio,AverageNumberOfHashtags,AverageNumberOfComments,AverageNumberOfCharacters,AverageNumberOfForwardings,AverageNumberOfLikes,AverageNumberOfLinkedProfiles,AverageNumberOfUsedFilters,AverageNumberOfViews,LikesToViewRatio,CommentsToViewRatio
A9D326A9-2CB9-4396-897C-000188C0A54E,0,0,1.0,63,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9A60337F-64D3-468F-A20F-0017CD58C59A,1,0,1.0,108,6,34.0,0,0,0.0,0.0,0.0,0.0,18.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4919958-31BA-4813-9B70-0017E92527C7,0,0,1.0,3171,93,3.0,0,0,0.0,0.0,1.0,1.0,34.096774193548384,0.03225806451612903,0.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,0.1428571428571428,0.0
4026CA43-1F0D-42C7-AA7F-001E55ECB80A,0,0,1.0,245,145,471.0,0,1,1.0,0.0,1.0,20.0,1.6896551724137931,3.2482758620689656,1.0,0.0,10.4,0.0,3.85,0.0,0.25,25.2,0.1527777777777778,0.0
7EE88B39-58A2-4CBF-8D32-001FAC568DA2,0,0,1.0,2255,132,78.0,0,0,1.0,0.0,1.0,3.0,17.083333333333332,0.5909090909090909,0.0,0.0,8.666666666666666,0.6666666666666666,26.0,0.0,0.0,557.6666666666666,0.0466228332337119,0.0
982340CD-16A9-4A8C-BCA0-00238E432A02,0,0,0.0,1,5,0.0,0,0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73545CEF-5638-4F25-8F49-0023C1757363,0,0,1.0,1168,89,0.0,0,0,0.0,0.0,0.0,0.0,13.123595505617978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0CA73C78-D1DF-4508-86CC-0044299A2560,0,0,1.0,727,79,55.0,0,0,0.0,0.0,1.0,20.0,9.20253164556962,0.6962025316455697,0.05,0.05,2.05,0.0,1.8,0.05,0.0,12.05,0.1493775933609958,0.0041493775933609
CC93AC1E-C388-4FCC-8742-0046662A0B01,0,0,1.0,385,8,11.0,0,0,0.0,0.0,1.0,5.0,48.125,1.375,1.6,0.0,33.8,0.0,2.2,0.0,0.0,4.6,0.4782608695652174,0.0
763D9B3F-55C4-44C2-87FB-004BF1A97D40,1,0,1.0,261,63,551.0,0,0,0.0,0.0,0.0,0.0,4.142857142857143,8.746031746031745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A07B3C33-436B-4297-8207-004DF615CC6A,0,0,1.0,169,6,0.0,0,0,0.0,0.0,0.0,0.0,28.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830D9E9E-0AEA-468A-A002-0050694A8330,1,0,0.0,3008,58,254.0,0,0,0.0,0.0,0.0,0.0,51.86206896551724,4.379310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1588F43E-7DED-4D60-82B4-005774AAEF48,1,0,1.0,165,17,91.0,0,0,0.0,0.0,0.0,0.0,9.705882352941176,5.352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E6BF605E-FB96-4B65-8791-00618D006CF0,0,0,1.0,129,6,0.0,0,0,0.0,0.0,1.0,3.0,21.5,0.0,0.3333333333333333,0.0,4.333333333333333,0.0,0.0,0.0,0.0,3.0,0.0,0.0
A62F5DB0-85C3-411B-93AB-0065DA68FE2C,0,0,1.0,60,3,4.0,0,0,0.0,0.0,1.0,4.0,20.0,1.3333333333333333,0.25,0.0,4.0,1.0,1.0,0.0,0.5,6.5,0.1538461538461538,0.0
F9377FED-8EB8-4818-B310-00699973B2F0,0,0,1.0,340,144,587.0,1,0,0.0,0.0,1.0,20.0,2.361111111111111,4.076388888888889,2.45,0.1,39.3,0.0,7.35,0.0,0.35,57.0,0.1289473684210526,0.0017543859649122
82F3464E-4AEF-4B96-BEB4-006BBEB45585,0,0,1.0,549,27,296.0,0,1,1.0,0.0,1.0,20.0,20.333333333333332,10.962962962962964,0.25,0.3,9.55,0.0,1.6,0.15,0.3,7.35,0.217687074829932,0.0408163265306122
BDD6F023-5E34-4CB4-95E3-006F2C898AC0,0,0,1.0,7641,314,174.0,0,0,1.0,0.0,1.0,20.0,24.3343949044586,0.554140127388535,0.4,0.0,8.05,0.0,3.45,0.0,0.1,19.55,0.1764705882352941,0.0
3F01BC03-75D5-48D4-8174-0072FD4A732C,0,0,1.0,320,4,4.0,0,0,0.0,0.0,1.0,4.0,80.0,1.0,0.25,0.0,2.75,0.0,1.0,0.0,0.0,3.75,0.2666666666666666,0.0
E0EA6355-846B-4622-B847-0073A0602C1B,0,0,1.0,3788,1606,11000.0,0,0,1.0,0.0,1.0,20.0,2.3586550435865505,6.8493150684931505,0.05,1.1,1.6,-1.0,135.6,0.0,0.0,561.0,0.241711229946524,0.0019607843137254
620BA564-0191-4DA4-B2A3-0079ADEEC003,0,0,1.0,42,6,1.0,0,0,0.0,0.0,0.0,0.0,7.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ECA6558-D5FC-43A1-A60F-00973DD1B192,0,0,1.0,8,1,0.0,0,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1989496-8525-40D1-97D0-009AE610EAD7,0,0,1.0,597,118,201.0,0,0,0.0,0.0,1.0,15.0,5.059322033898305,1.7033898305084745,0.3333333333333333,0.8666666666666667,10.333333333333334,0.1333333333333333,13.2,0.0,0.1333333333333333,1469.4666666666667,0.008982850920969,0.0005897831412757
72321EFA-F74C-462D-87C9-009DBF11098B,0,0,1.0,1214,42,5.0,0,0,1.0,0.0,1.0,1.0,28.904761904761905,0.11904761904761904,0.0,1.0,0.0,0.0,5.0,0.0,0.0,17.0,0.2941176470588235,0.0588235294117647
022FB03A-8805-401D-907E-00A260D9194A,0,0,1.0,285,7,6.0,0,0,0.0,0.0,1.0,3.0,40.714285714285715,0.8571428571428571,1.6666666666666667,0.0,24.0,0.0,2.0,0.0,0.0,9.333333333333334,0.2142857142857142,0.0
EF69985F-F76C-43D2-92F2-00A2FA064B5A,0,0,1.0,68,23,6.0,0,0,1.0,0.0,0.0,0.0,2.9565217391304346,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26B04375-A6C0-4659-86CD-00A886688E6D,0,0,1.0,1063,217,1124.0,0,1,0.0,0.0,1.0,20.0,4.8986175115207375,5.179723502304148,0.9,0.35,35.7,0.05,4.55,0.0,0.15,106.45,0.0427430718647252,0.0032879286049788
D0845F3B-F2AB-48D1-B876-00A9683AA6CB,0,0,1.0,85,0,0.0,0,0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69E033D0-6249-426B-882E-00AE192F18BA,0,0,1.0,313,9,62.0,0,0,0.0,0.0,1.0,20.0,34.77777777777778,6.888888888888889,0.4,0.0,11.55,0.0,1.7,0.1,0.4,12.95,0.1312741312741313,0.0
635F02EB-2493-46B0-BBCA-00C643109308,0,0,1.0,49,16,155.0,0,0,0.0,0.0,1.0,10.0,3.0625,9.6875,0.4,0.4,19.2,0.1,14.8,0.1,0.0,116.4,0.127147766323024,0.0034364261168384
3FCA5356-E25E-44F2-B27D-00C83482CE38,0,0,1.0,420,10,0.0,0,0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131F10C9-F182-4227-B043-00D9F257190B,0,0,1.0,516,6,0.0,0,0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160D7A0B-2532-41A1-962C-00DDFF6803C9,0,0,1.0,94,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58B34505-36FB-4E97-A9D6-00DF3D585DE9,0,0,0.0,8,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20ED3363-BF93-4D02-9C51-00ED3591E539,0,0,1.0,374,60,696.0,0,0,0.0,0.0,1.0,20.0,6.233333333333333,11.6,0.15,0.45,12.25,0.15,3.1,0.1,0.15,35.55,0.0872011251758087,0.0126582278481012
7C1D34B8-4194-45D7-B54D-00F0BB7408BC,0,0,1.0,96,0,0.0,0,0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0B5CFE9C-4056-49F7-A854-00FA6DD8ACF3,0,0,1.0,280,821,1.0,1,0,1.0,0.0,0.0,0.0,0.341047503045067,0.001218026796589525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6E228A1B-BB18-4B14-A4C1-011805D61152,1,0,1.0,3033,4,113.0,0,0,0.0,0.0,0.0,0.0,758.25,28.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2183CCFC-81EF-4526-98DC-011A6E4C3191,0,0,1.0,1195,93,20.0,0,0,0.0,0.0,1.0,4.0,12.849462365591398,0.21505376344086022,0.25,0.0,2.75,0.0,5.0,0.0,0.0,19.0,0.2631578947368421,0.0
78A95680-6F19-4670-8FC3-01202BEA5D2F,0,0,1.0,1373,8,0.0,0,0,0.0,0.0,0.0,0.0,171.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
